p,cand_old,wit_old,cand_bad,wit_bad,first_l_old,first_l_bad,witnesses_bad
2351,157,99,227,142,4703,4703,4703 14107 141061 155167 159869 239803 253909 258611 310333 324439 357353 427883 470201 521923 554837 653579 747619 804043 846361 935699 945103 978017 1119077 1133183 1189607 1340071 1415303 1424707 1551661 1556363 1579873 1626893 1739741 1791463 1946629 2087689 2177027 2200537 2205239 2271067 2303981 2374511 2398021 2412127 2557889 2680141 2769479 2792989 2835307 2863519 2910539 2962261 3051599 3075109 3093917 3249083 3258487 3263189 3291401 3385441 3517097 3554713 3615839 3625243 3742793 3766303 3799217 3813323 3879151 3893257 3907363 3926171 4161271 4245907 4321139 4344649 4443391 4513921 4598557 4603259 4683193 4697299 4730213 4772531 4810147 4843061 4913591 5035843 5068757 5096969 5176903 5209817 5238029 5247433 5289751 5332069 5421407 5430811 5435513 5562467 5576573 5585977 5600083 5703527 5966839 6056177 6136111 6225449 6248959 6277171 6291277 6324191 6507569 6813199 6902537 6911941 7001279 7053001 7071809 7081213 7184657 7264591 7269293 7283399 7339823 7410353 7518499 7551413 7636049 7678367 7706579 7734791 7899361 7904063 7927573 8012209 8031017 8068633 8172077 8195587 8209693 8270819
2357,159,97,230,148,32999,32999,32999 56569 89567 117851 212131 245129 296983 386549 410119 443117 542111 622249 626963 810809 824951 919231 952229 961657 1121933 1150217 1216213 1343491 1433057 1456627 1484911 1602761 1612189 1687613 1697041 1767751 1781893 1871459 1880887 1885601 1942169 1951597 2036449 2111873 2140157 2206153 2225009 2295719 2347573 2422997 2446567 2474851 2804831 2861399 2960393 2969821 3026389 3031103 3054673 3073529 3130097 3158381 3181951 3427079 3436507 3450649 3719347 3761773 3790057 3808913 3818341 3865481 4049327 4077611 4148321 4157749 4186033 4289741 4313311 4445303 4468873 4473587 4487729 4544297 4586723 4652719 4681003 4822423 4841279 4850707 4869563 4897847 4996841 5067551 5076979 5152403 5204257 5274967 5350391 5392817 5444671 5529523 5548379 5604947 5628517 5633231 5689799 5699227 5760509 5788793 5812363 5854789 5911357 5925499 6095203 6099917 6123487 6128201 6307333 6326189 6335617 6363901 6481751 6519463 6547747 6623171 6637313 6665597 6703309 6764591 6821159 6891869 6929581 6948437 7047431 7132283 7184137 7226563 7254847 7316129 7325557 7396267 7415123 7471691 7537687 7551829 7683821 7778101 7891237 7990231 8075083 8117509 8216503 8306069
2371,174,109,242,155,94841,94841,94841 113809 156487 279779 369877 478943 493169 512137 550073 564299 654397 663881 825109 919949 976853 991079 1019531 1109629 1161791 1223437 1261373 1332503 1346729 1379923 1394149 1422601 1451053 1465279 1493731 1517441 1673927 1688153 1721347 1730831 1745057 1759283 1792477 1806703 1863607 1877833 1986899 2105449 2114933 2148127 2162353 2171837 2228741 2247709 2257193 2314097 2389969 2418421 2456357 2461099 2612843 2774071 2840459 2845201 2887879 3039623 3053849 3172399 3253013 3286207 3324143 3338369 3343111 3366821 3409499 3414241 3442693 3499597 3509081 3523307 3599179 3622889 3651341 3765149 3769891 3798343 3807827 3812569 3836279 3883699 3997507 4054411 4263059 4282027 4353157 4362641 4367383 4410061 4433771 4447997 4452739 4462223 4576031 4580773 4594999 4675613 4817873 4936423 4979101 5007553 5145071 5230427 5434333 5500721 5600303 5657207 5704627 5756789 5927501 5946469 6012857 6027083 6069761 6074503 6088729 6112439 6287893 6425411 6501283 6558187 6572413 6586639 6629317 6653027 6657769 6667253 6686221 6738383 6757351 6923321 7065581 7108259 7136711 7250519 7425973 7449683 7468651 7482877 7734203 7753171 7781623 7862237 8037691 8061401 8137273 8203661 8217887 8232113 8279533 8293759 8417051
2377,157,94,236,140,42787,42787,42787 137867 223439 280487 323273 351797 370813 556219 613267 679823 736871 751133 779657 784411 855721 869983 1083913 1178993 1364399 1369153 1483249 1507019 1535543 1554559 1606853 1611607 1635377 1640131 1649639 1735211 1896847 1911109 1920617 1949141 1968157 2006189 2082253 2153563 2163071 2177333 2305691 2338969 2348477 2434049 2448311 2495851 2609947 2709781 2852401 2861909 2895187 2933219 2961743 3037807 3052069 3132887 3147149 3180427 3346817 3494191 3503699 3536977 3551239 3646319 3708121 3845987 3907789 3936313 3960083 3964837 4007623 4150243 4174013 4178767 4264339 4292863 4335649 4430729 4464007 4649413 4715969 4844327 4849081 4915637 4977439 5015471 5048749 5058257 5191369 5229401 5343497 5500379 5533657 5642999 5657261 5700047 5742833 5771357 5890207 6132661 6203971 6213479 6270527 6356099 6360853 6370361 6460687 6503473 6603307 6741173 6745927 6774451 6812483 6831499 6860023 6940841 7097723 7131001 7169033 7226081 7259359 7330669 7440011 7454273 7630171 7644433 7668203 7687219 7839347 7844101 7901149 7986721 8043769 8072293 8167373 8224421 8400319 8424089 8438351 8457367
2381,164,106,238,150,28573,28573,28573 85717 100003 133337 242863 285721 300007 376199 419057 457153 471439 561917 576203 585727 590489 642871 671443 690491 704777 785731 885733 900019 919067 976211 990497 1019069 1100023 1133357 1204787 1285741 1385743 1428601 1442887 1504793 1571461 1585747 1671463 1742893 1761941 1800037 1885753 2004803 2071471 2085757 2190521 2233379 2290523 2300047 2328619 2376239 2442907 2457193 2500051 2633387 2657197 2690531 2704817 2761961 2919107 2933393 2971489 3000061 3119111 3133397 3204827 3242923 3371497 3561977 3571501 3585787 3642931 3661979 3690551 3833411 3861983 3876269 3928651 3957223 4000081 4042939 4061987 4071511 4185799 4219133 4233419 4419137 4433423 4504853 4519139 4619141 4642951 4742953 4790573 4828669 4919147 4942957 4957243 4971529 5000101 5157247 5171533 5233439 5333441 5385823 5419157 5576303 5685829 5733449 5742973 5862023 5876309 5885833 5990597 6000121 6071551 6276317 6300127 6371557 6542989 6590609 6600133 6642991 6690611 6719183 6804899 6857281 6871567 6876329 6904901 6933473 6942997 6957283 7100143 7228717 7262051 7328719 7419197 7585867 7657297 7671583 7719203 7762061 7785871 7857301 8076353 8119211 8162069 8219213 8243023 8290643
2383,158,97,239,141,28597,28597,28597 81023 157279 195407 324089 343153 366983 386047 414643 486133 500431 509963 524261 624347 629113 652943 667241 681539 729199 867413 910307 986563 1000861 1015159 1110479 1158139 1181969 1196267 1224863 1243927 1267757 1301119 1324949 1429801 1558483 1625207 1715761 1744357 1753889 1787251 1825379 1858741 1915933 1944529 2097041 2158999 2297213 2411597 2459257 2502151 2525981 2583173 2630833 2645131 2730919 2816707 2845303 3016879 3102667 3159859 3288541 3326669 3360031 3369563 3398159 3483947 3584033 3698417 3846163 3869993 3898589 4060633 4160719 4170251 4184549 4203613 4217911 4246507 4298933 4413317 4446679 4518169 4527701 4613489 4627787 4670681 4732639 4913747 4918513 4947109 5028131 5061493 5104387 5147281 5156813 5199707 5204473 5733499 5771627 5871713 5886011 5890777 6057587 6090949 6133843 6157673 6162439 6186269 6200567 6448399 6648571 6686699 6700997 6820147 6958361 6972659 6991723 7015553 7063213 7187129 7201427 7301513 7315811 7401599 7558877 7616069 7630367 7663729 7730453 7735219 7749517 7806709 7873433 7902029 8035477 8116499 8130797 8164159 8173691 8259479 8435821
2389,155,102,231,150,43003,43003,43003 71671 210233 267569 272347 296237 310571 315349 329683 344017 382241 415687 501691 654587 711923 740591 769259 817039 831373 840929 869597 1003381 1032049 1055939 1285283 1385621 1390399 1476403 1490737 1500293 1600631 1691413 1705747 1748749 1786973 1820419 1834753 1849087 1858643 1892089 1935091 2078431 2150101 2207437 2221771 2250439 2274329 2489339 2494117 2623123 2647013 2704349 2747351 2780797 2819021 2852467 2962361 2995807 3053143 3091367 3153481 3210817 3225151 3354157 3363713 3378047 3397159 3421049 3492719 3540499 3578723 3679061 3726841 3879737 4080413 4128193 4166417 4223753 4228531 4252421 4309757 4424429 4443541 4496099 4754111 4811447 4859227 4945231 5016901 5203243 5212799 5284469 5289247 5303581 5427809 5446921 5470811 5528147 5561593 5614151 5618929 5690599 5848273 5857829 5900831 5905609 5972501 6020281 6048949 6101507 6158843 6192289 6431189 6517193 6564973 6588863 6794317 6808651 6837319 6851653 7104887 7152667 7167001 7190891 7233893 7377233 7434569 7439347 7520573 7577909 7597021 7620911 7625689 7640023 7654357 7721249 7735583 7840699 7855033 7864589 7936259 7979261 8122601 8170381 8194271 8242051 8337611 8366279 8409281 8509619
2393,149,94,231,140,4787,4787,4787 33503 148367 191441 244087 349379 406811 430741 507317 579107 607823 674827 708329 794477 909341 918913 1033777 1110353 1182143 1196501 1234789 1277863 1282649 1435801 1440587 1651171 1665529 1713389 1756463 1842611 1871327 1880899 1900043 1952689 2168059 2225491 2282923 2345141 2369071 2440861 2445647 2527009 2589227 2646659 2670589 2814169 2847671 2929033 2948177 2972107 2976893 3063041 3072613 3292769 3316699 3359773 3493781 3508139 3565571 3618217 3675649 3780941 3790513 3819229 3934093 3981953 4053743 4120747 4211681 4249969 4336117 4393549 4427051 4450981 4498841 4551487 4671137 4699853 4814717 4915223 5015729 5030087 5054017 5058803 5073161 5125807 5326819 5341177 5484757 5518259 5590049 5657053 5661839 5671411 5819777 5843707 5934641 6030361 6135653 6159583 6202657 6303163 6346237 6394097 6422813 6532891 6566393 6604681 6676471 6690829 6709973 6738689 6781763 6805693 6896627 6968417 7035421 7107211 7111997 7169429 7179001 7250791 7265149 7384799 7442231 7480519 7614527 7671959 7715033 7753321 7782037 7896901 8002193 8016551 8270209 8318069 8332427 8432933 8519081 8571727
2399,164,100,256,148,4799,4799,4799 28789 33587 91163 105557 201517 249497 321467 451013 460609 465407 503791 561367 594953 705307 767681 777277 820459 839651 863641 906823 1012379 1036369 1041167 1113137 1170713 1257077 1271471 1401017 1425007 1439401 1458593 1468189 1472987 1482583 1511371 1559351 1674503 1770463 1799251 1900009 1947989 1986373 2015161 2019959 2207081 2235869 2250263 2264657 2279051 2331829 2375011 2432587 2446981 2518951 2523749 2638901 2754053 2840417 2850013 2950771 2969963 2984357 3008347 3027539 3094711 3123499 3185873 3440167 3473753 3584107 3598501 3632087 3646481 3843199 3943957 4030321 4078301 4102291 4145473 4337393 4346989 4447747 4462141 4466939 4481333 4495727 4534111 4582091 4591687 4663657 4682849 4706839 5023507 5201033 5210629 5426539 5431337 5455327 5575277 5815177 5877551 5901541 6064673 6151037 6160633 6175027 6333361 6362149 6405331 6477301 6506089 6510887 6520483 6549271 6678817 6765181 6822757 6837151 6957101 6966697 7024273 7081849 7144223 7216193 7240183 7288163 7326547 7345739 7388921 7528063 7614427 7657609 7672003 7806347 7815943 7844731 7878317 7959883 8022257 8065439 8118217 8209379 8295743 8382107 8564431 8612411 8622007
2411,160,105,229,148,19289,19289,19289 28933 48221 62687 77153 120551 135017 216991 352007 361651 405049 433981 535243 554531 597929 607573 626861 641327 699191 737767 824563 839029 858317 1113883 1128349 1147637 1171747 1200679 1301941 1330873 1374271 1436957 1465889 1518931 1706989 1711811 1813073 1851649 1923979 1952911 1967377 2025241 2068639 2140969 2174723 2218121 2242231 2247053 2256697 2271163 2329027 2362781 2430289 2546017 2608703 2618347 2623169 2647279 2695499 2767829 2893201 2979997 2994463 3066793 3124657 3182521 3283783 3317537 3418799 3471841 3491129 3500773 3544171 3630967 3664721 3809381 3925109 3968507 4026371 4098701 4171031 4199963 4383199 4571257 4585723 4619477 4744849 4749671 4817179 4822001 4846111 4889509 4947373 4990771 5125787 5164363 5212583 5294557 5381353 5468149 5511547 5569411 5598343 5757469 5805689 5815333 5849087 5950349 6051611 6066077 6104653 6123941 6176983 6268601 6292711 6307177 6321643 6427727 6466303 6644717 6683293 6717047 6745979 6770089 6813487 6871351 7035299 7044943 7102807 7165493 7237823 7324619 7368017 7377661 7469279 7512677 7522321 7695913 7739311 7826107 7859861 7946657 8144359 8163647 8187757 8250443 8264909 8607271
2417,161,106,231,143,48341,48341,48341 87013 120851 135353 164357 178859 236867 280373 290041 323879 352883 468899 507571 522073 570413 580081 652591 710599 797611 845951 855619 932963 1000639 1034477 1131157 1160161 1203667 1223003 1363189 1450201 1484039 1522711 1566217 1740241 1827253 1904597 1928767 1991609 2006111 2078621 2093123 2102791 2117293 2247811 2262313 2320321 2339657 2383163 2407333 2499179 2537851 2581357 2653867 2658701 2716709 2818223 2847227 2963243 3016417 3079259 3151769 3180773 3296789 3325793 3378967 3393469 3451477 3586829 3688343 3756019 3843031 3876869 3886537 3934877 4021889 4036391 4046059 4205581 4224917 4249087 4365103 4398941 4466617 4485953 4543961 4611637 4655143 4713151 4756657 4775993 4843669 4877507 4988689 5003191 5051531 5095037 5293231 5341571 5351239 5365741 5414081 5457587 5481757 5510761 5718623 5791133 5936153 6153683 6269699 6414719 6438889 6501731 6516233 6525901 6598411 6617747 6704759 6743431 6951293 7018969 7067309 7226831 7396021 7444361 7516871 7541041 7589381 7599049 7729567 7734401 7816579 7821413 7831081 8067947 8135623 8227469 8237137 8353153 8425663 8498173 8527177 8541679 8744707
2423,162,91,239,133,58153,58153,58153 145381 174457 193841 208379 281069 397373 586367 644519 688133 814129 848051 872281 993431 1221193 1264807 1410187 1584643 1633103 1686409 1734869 1773637 1851173 1865711 1875403 1904479 1991707 2025629 2180701 2214623 2326081 2330927 2360003 2427847 2461769 2476307 2485999 2505383 2519921 2645917 2747683 2767067 2791297 2820373 2912447 2956061 3086903 3416431 3595733 3639347 3794419 3857417 3901031 3925261 4002797 4099717 4104563 4133639 4143331 4157869 4206329 4249943 4274173 4351709 4419553 4511627 4564933 4657007 4686083 4700621 4710313 4715159 4724851 4812079 4942921 4976843 5088301 5117377 5194913 5233681 5311217 5379061 5412983 5451751 5456597 5558363 5626207 5655283 5669821 5727973 5805509 5936351 6062347 6096269 6139883 6193189 6207727 6241649 6314339 6411259 6483949 6614791 6677789 6794093 6891013 6983087 7065469 7128467 7152697 7201157 7298077 7472533 7501609 7608221 7690603 7734217 7763293 7768139 7835983 7898981 7923211 7995901 8000747 8083129 8262431 8301199 8349659 8417503 8509577 8640419 8713109 8771261 8795491
2437,171,101,243,144,9749,9749,9749 24371 43867 112103 146221 214457 243701 292441 302189 433787 463031 482527 550763 653117 682361 740849 789589 804211 877321 887069 994297 1023541 1033289 1135643 1169761 1257493 1476823 1486571 1520689 1535311 1666909 1793633 1915483 1944727 1998341 2042207 2217671 2237167 2281033 2310277 2363891 2378513 2495489 2773307 2817173 2865913 2939023 3065747 3070621 3094991 3402053 3436171 3445919 3475163 3504407 3523903 3567769 3577517 3626257 3728611 3752981 3796847 3811469 3840713 3860209 3947941 4021051 4045421 4191641 4240381 4298869 4323239 4352483 4459711 4547443 4576687 4601057 4615679 4649797 4703411 4718033 4737529 4849631 4864253 4937363 5068961 5112827 5117701 5185937 5205433 5229803 5259047 5273669 5307787 5346779 5483251 5566109 5687959 5741573 5790313 5819557 6180233 6185107 6199729 6272839 6297209 6345949 6516539 6740743 6765113 6808979 6813853 6867467 6886963 7062427 7174529 7189151 7252513 7262261 7296379 7320749 7423103 7427977 7466969 7540079 7603441 7749661 7764283 7774031 7788653 7808149 7837393 7847141 7920251 8110337 8173699 8246809 8344289 8451517 8563619 8592863 8768327 8797571 8860933
2441,164,111,236,154,48821,48821,48821 63467 122051 151343 175753 209927 322213 356387 380797 395443 414971 439381 502847 600487 629779 649307 678599 722537 737183 805531 820177 854351 868997 908053 922699 981283 1044749 1147271 1191209 1557359 1625707 1659881 1728229 1757521 1806341 1835633 1850279 1903981 1996739 2065087 2143199 2172491 2240839 2245721 2270131 2289659 2318951 2343361 2358007 2421473 2480057 2519113 2567933 2577697 2699747 2797387 2860853 2870617 2992667 3007313 3080543 3309997 3388109 3471103 3505277 3515041 3602917 3676147 3724967 3739613 3749377 3812843 3827489 3959303 3969067 4032533 4071589 4100881 4105763 4174111 4261987 4320571 4413329 4530497 4569553 4633019 4716013 4774597 4823417 4833181 4838063 4847827 4984523 5140747 5243269 5248151 5287207 5394611 5419021 5433667 5438549 5521543 5565481 5585009 5643593 5687531 5726587 5731469 5741233 5833991 5951159 6107383 6200141 6239197 6244079 6253843 6302663 6327073 6371011 6532117 6712751 6727397 6756689 6825037 6898267 7020317 7074019 7132603 7371821 7410877 7474343 7586629 7635449 7781909 7791673 7825847 7864903 7884431 7928369 8001599 8011363 8118767 8133413 8148059 8172469 8216407 8362867 8397041 8499563 8523973 8611849 8670433 8704607 8777837
2447,164,88,242,128,14683,14683,14683 34259 88093 161503 205549 254489 357263 401309 606857 724313 753677 768359 807511 827087 924967 929861 944543 998377 1047317 1120727 1385003 1438837 1482883 1487777 1517141 1585657 1615021 1805887 1849933 1898873 2055481 2128891 2148467 2309969 2398061 2471471 2510623 2613397 2691701 2779793 2833627 2862991 2897249 3068539 3117479 3171313 3337709 3435589 3513893 3543257 3567727 3587303 3597091 3631349 3734123 3807533 3978823 3998399 4022869 4027763 4110961 4169689 4478011 4492693 4566103 4624831 4747181 4815697 4864637 4879319 4933153 4938047 4982093 4991881 5050609 5055503 5084867 5153383 5212111 5329567 5378507 5402977 5623207 5628101 5686829 5725981 5740663 5745557 6039197 6063667 6068561 6215381 6254533 6274109 6386671 6406247 6479657 6494339 6582431 6724357 6773297 6827131 6871177 6876071 6890753 7022891 7037573 7252909 7267591 7331213 7341001 7654217 7815719 7913599 8016373 8109359 8221921 8314907 8417681 8461727 8486197 8500879 8652593 8823883 8828777 8882611 8897293 8956021
2459,156,99,230,148,4919,4919,4919 44263 147541 152459 167213 280327 324589 413113 477047 501637 516391 545899 560653 565571 683603 742619 772127 786881 840979 855733 944257 978683 1003273 1067207 1199993 1254091 1362287 1431139 1495073 1593433 1681957 1696711 1701629 1755727 1770481 1829497 1893431 1962283 2070479 2085233 2114741 2144249 2345887 2463919 2542607 2567197 2581951 2660639 2690147 2704901 2714737 2729491 2758999 2822933 2877031 2896703 2906539 3098341 3118013 3201619 3231127 3250799 3280307 3324569 3378667 3516371 3526207 3663911 3870467 3885221 3968827 4003253 4027843 4150793 4165547 4209809 4381939 4411447 4677019 4696691 4750789 4795051 4824559 4991771 5090131 5311441 5340949 5488489 5611439 5665537 5699963 5709799 5803241 5813077 5827831 5847503 5995043 6004879 6009797 6078649 6093403 6157337 6167173 6201599 6314713 6349139 6388483 6422909 6437663 6467171 6521269 6526187 6609793 6614711 6688481 6836021 6963889 7008151 7057331 7126183 7140937 7263887 7273723 7278641 7396673 7470443 7485197 7524541 7716343 7745851 7780277 7854047 7868801 7952407 8040931 8208143 8232733 8365519 8414699 8429453 8503223 8586829 8763877 8822893 8886827 8970433 9049121 9058957
2467,170,105,236,146,59209,59209,59209 148021 162823 291107 296041 340447 394721 409523 458863 513137 577279 651289 675959 754903 779573 838781 873319 883187 962131 1095349 1105217 1120019 1134821 1243369 1258171 1268039 1302577 1342049 1480201 1495003 1519673 1549277 1667693 1776241 1791043 1820647 1845317 1924261 2057479 2156159 2309113 2338717 2511407 2679163 2723569 2901193 2911061 2999873 3118289 3152827 3177497 3226837 3256441 3345253 3429131 3473537 3478471 3488339 3567283 3591953 3685699 3813983 3818917 3833719 3932399 3996541 4021211 4139627 4258043 4292581 4307383 4317251 4455403 4499809 4524479 4554083 4588621 4628093 4662631 4677433 4721839 4731707 4761311 4776113 4781047 4825453 4835321 4850123 4894529 5003077 5017879 5165899 5175767 5239909 5269513 5299117 5501411 5521147 5693837 5861593 5871461 5886263 5920801 5935603 6009613 6128029 6216841 6241511 6261247 6335257 6389531 6409267 6433937 6522749 6586891 6803987 6833591 6892799 6966809 7001347 7030951 7075357 7104961 7144433 7178971 7519417 7573691 7682239 7711843 7780919 7928939 7978279 8180573 8313791 8358197 8550623 8624633 8654237 8698643 8757851 8772653 8831861 8866399 8876267 8896003 9044023
2473,176,107,251,155,103867,103867,103867 133543 247301 262139 276977 356113 380843 410519 430303 445141 573737 608359 697387 707279 727063 756739 796307 816091 825983 870497 875443 944687 949633 1093067 1152419 1226609 1241447 1290907 1365097 1508531 1523369 1656911 1661857 1716263 1820129 1834967 1839913 1958617 1983347 2057537 2062483 2077321 2087213 2151511 2225701 2250431 2265269 2280107 2329567 2374081 2433433 2477947 2502677 2522461 2784599 2819221 2878573 2918141 2977493 2992331 2997277 3041791 3155549 3205009 3214901 3422633 3427579 3575959 3689717 3709501 3724339 3838097 4016153 4045829 4065613 4080451 4139803 4154641 4288183 4303021 4535483 4540429 4565159 4609673 4787729 4822351 4876757 4955893 4985569 5054813 5059759 5222977 5307059 5415871 5499953 5504899 5579089 5648333 5697793 5752199 5846173 5885741 5900579 5915417 5920363 5964877 6039067 6172609 6197339 6261637 6286367 6320989 6330881 6419909 6484207 6508937 6553451 6701831 6736453 6835373 6855157 6884833 7003537 7077727 7102457 7206323 7255783 7270621 7280513 7310189 7700923 7715761 7770167 7804789 7829519 7948223 7977899 7997683 8101549 8141117 8235091 8348849 8383471 8467553 8482391 8487337 8512067 8606041 8630771 8695069 8739583 8779151 8813773 8858287 9090749
2477,176,106,247,143,64403,64403,64403 118897 163483 183299 213023 222931 386413 495401 535033 554849 569711 614297 653929 658883 668791 683653 762917 926399 980893 1015571 1084927 1104743 1114651 1208777 1327673 1352443 1382167 1426753 1471339 1520879 1535741 1550603 1560511 1699223 1709131 1842889 1922153 1932061 1976647 2140129 2174807 2244163 2288749 2293703 2348197 2363059 2368013 2452231 2526541 2576081 2590943 2665253 2675161 2734609 2784149 2808919 2858459 2942677 3096251 3135883 3155699 3185423 3269641 3378629 3433123 3462847 3492571 3675869 3839351 3883937 3953293 4002833 4047419 4131637 4220809 4324843 4329797 4369429 4384291 4473463 4552727 4622083 4716209 4740979 4830151 4845013 4849967 4939139 4963909 5236379 5246287 5251241 5295827 5370137 5414723 5444447 5558389 5682239 5711963 5736733 5771411 5890307 5959663 6068651 6083513 6108283 6152869 6167731 6316351 6440201 6583867 6648269 6707717 6777073 6811751 6836521 6895969 6970279 7034681 7227887 7297243 7326967 7331921 7376507 7416139 7421093 7525127 7673747 7802551 7847137 7911539 7970987 8070067 8084929 8283089 8372261 8535743 8545651 8634823 8669501 8892431 8907293 9006373
2503,174,98,247,147,25031,25031,25031 85103 175211 250301 405487 430517 505607 550661 610733 715859 735883 760913 805967 810973 825991 926111 1061273 1066279 1111333 1156387 1216459 1226471 1241489 1301561 1331597 1336603 1366639 1391669 1526831 1576891 1616939 1651981 1666999 1682017 1932317 2042449 2082497 2157587 2192629 2232677 2277731 2282737 2427911 2487983 2688223 2713253 2758307 2788343 2883457 3093709 3108727 3213853 3228871 3389063 3404081 3439123 3559267 3619339 3664393 3694429 3869639 3934717 4039843 4109927 4190023 4205041 4295149 4380251 4430311 4440323 4530431 4560467 4590503 4740683 4755701 4805761 4835797 4910887 5016013 5161187 5206241 5406481 5416493 5581691 5631751 5686817 5691823 5806961 5821979 5836997 5867033 5897069 5932111 6017213 6037237 6067273 6122339 6142363 6292543 6367633 6457741 6467753 6542843 6557861 6592903 6622939 6662987 6783131 6788137 6843203 6888257 6998389 7013407 7058461 7133551 7173599 7223659 7323779 7338797 7418893 7463947 7509001 7549049 7684211 7719253 7789337 7794343 7864427 7944523 8059661 8149769 8239877 8375039 8410081 8470153 8710441 8725459 8815567 8890657 8920693 8960741 9050849 9065867 9145963 9276119 9291137 9296143
2521,169,109,249,164,70589,70589,70589 105883 221849 252101 272269 357983 378151 408403 478991 499159 524369 529411 584873 635293 675629 786553 907561 937813 978149 1008401 1028569 1058821 1114283 1159661 1240333 1376467 1386551 1416803 1431929 1507559 1527727 1613441 1628567 1633609 1643693 1689071 1754617 1840331 1845373 1855457 2021843 2087389 2445371 2465539 2541169 2571421 2717639 2752933 2778143 2823521 2964697 2974781 3005033 3141167 3206713 3252091 3267217 3494107 3630241 3660493 3731081 3761333 3781501 3821837 3887383 4008391 4048727 4124357 4174777 4189903 4275617 4381499 4401667 4442003 4457129 4487381 4608389 4658809 4704187 4764691 4835279 4895783 4941161 4946203 5157967 5188219 5218471 5248723 5258807 5324353 5369731 5440319 5490739 5515949 5536117 5636957 5702503 5717629 5747881 5818469 5924351 5969729 5989897 6126031 6151241 6166367 6292417 6317627 6347879 6378131 6428551 6443677 6468887 6519307 6534433 6574769 6680651 6761323 6831911 6922667 6998297 7013423 7078969 7104179 7124347 7149557 7184851 7406699 7452077 7457119 7563001 7593253 7678967 7759639 7820143 7936109 7981487 7986529 8011739 8016781 8041991 8258797 8284007 8349553 8410057 8515939 8541149 8576443 8601653 8647031 8677283 8712577 8863837 8878963 8904173 8919299 8964677 9040307 9075601 9105853 9221819 9327701 9423499 9484003
2531,165,107,243,166,20249,20249,20249 75931 106303 202481 217667 318907 334093 394837 399899 460643 501139 506201 577069 652999 673247 688433 728929 733991 759301 825107 850417 992153 1032649 1052897 1068083 1108579 1159199 1169323 1260439 1295873 1432547 1457857 1523663 1564159 1609717 1721081 1797011 1822321 1903313 1913437 1928623 1994429 2019739 2126041 2146289 2171599 2176661 2207033 2222219 2282963 2353831 2358893 2399389 2450009 2495567 2505691 2551249 2571497 2601869 2627179 2961271 3037201 3189061 3204247 3234619 3239681 3285239 3406727 3523153 3614269 3771191 3917989 4100221 4166027 4181213 4252081 4373569 4393817 4409003 4484933 4510243 4586173 4722847 4788653 4834211 4859521 4910141 5016443 5163241 5193613 5208799 5304977 5406217 5547953 5634007 5740309 5801053 5851673 5922541 5973161 5988347 6049091 6119959 6140207 6170579 6200951 6378121 6529981 6545167 6702089 6732461 6788143 6853949 6879259 6884321 6899507 7005809 7015933 7051367 7076677 7112111 7137421 7142483 7203227 7213351 7279157 7309529 7334839 7456327 7547443 7608187 7643621 7714489 7835977 7871411 7886597 7911907 7962527 7977713 8048581 8175131 8200441 8220689 8352301 8372549 8397859 8418107 8478851 8494037 8610463 8625649 8731951 8807881 8914183 8949617 9116663 9131849 9162221 9309019 9329267 9339391 9430507 9496313 9506437 9521623 9541871
2539,175,113,250,160,25391,25391,25391 60937 147263 228511 274213 284369 375773 426553 441787 487489 533191 695687 787091 914041 1000367 1015601 1046069 1051147 1152707 1203487 1213643 1305047 1350749 1371061 1381217 1401529 1447231 1477699 1533557 1599571 1736677 1782379 1807769 1838237 1853471 1883939 1990577 2132761 2208931 2310491 2340959 2386661 2422207 2447597 2559313 2635483 2645639 2660873 2737043 2767511 2940163 3092503 3285467 3331169 3498743 3503821 3513977 3559679 3625693 3651083 3686629 3712019 3762799 3854203 3879593 3930373 3960841 3986231 4021777 4123337 4184273 4189351 4214741 4245209 4250287 4290911 4326457 4336613 4402627 4504187 4570201 4580357 4641293 4646371 4671761 4676839 4753009 4778399 4920583 4935817 4981519 5006909 5027221 5037377 5088157 5133859 5149093 5159249 5509631 5540099 5570567 5773687 5788921 5814311 5834623 5895559 5920949 5941261 5966651 6042821 6149459 6393203 6398281 6469373 6499841 6520153 6535387 6652181 6672493 6789287 6824833 6850223 6880691 6992407 7033031 7063499 7068577 7231073 7281853 7383413 7398647 7490051 7540831 7677937 7749029 7799809 7825199 7855667 7967383 8134957 8251751 8388857 8510729 8586899 8652913 8744317 8805253 8922047 8937281 8942359 8972827 9059153 9089621 9201337 9292741 9368911 9470471 9475549 9516173 9582187
