p,cand_old,wit_old,cand_bad,wit_bad,first_l_old,first_l_bad,witnesses_bad
379,31,17,47,27,4549,4549,4549 6823 10613 15919 19709 33353 40933 45481 54577 56093 90203 111427 122039 128861 131893 137957 140989 143263 144779 162971 163729 168277 170551 178889 183437 186469 212999
383,35,18,52,29,16087,16087,16087 32173 32939 34471 42131 48259 58217 67409 81197 82729 85793 91921 94219 96517 112603 114901 122561 127157 147073 149371 158563 160861 161627 165457 184607 188437 193799 212183 216779
389,32,17,47,28,14783,14783,14783 16339 31121 46681 51349 77801 79357 82469 98807 100363 105031 110477 121369 122147 137707 145487 149377 154823 159491 161047 175829 179719 180497 193723 210839 213173 214729 215507
397,42,24,56,35,6353,6353,6353 11117 15881 25409 26203 27791 33349 35731 38113 50023 53993 54787 58757 78607 80989 99251 106397 116719 120689 125453 131011 137363 145303 146891 161977 166741 170711 180239 185797 192149 202471 204059 214381 232643 233437
401,37,18,55,28,10427,10427,10427 16843 19249 20051 34487 40903 48121 60953 74587 75389 108271 109073 137143 140351 149173 151579 152381 154787 170827 181253 182857 193283 197293 204511 218947 219749 223759 230977
409,42,25,57,38,4091,4091,4091 4909 8999 13907 16361 21269 26177 35993 49081 53171 56443 58897 62987 68713 77711 82619 83437 102251 103069 120247 121883 124337 127609 136607 163601 169327 179143 180779 191413 197957 205319 208591 215953 220861 224951 228223 238039 242129
419,37,18,52,29,839,839,839 5867 15923 30169 33521 53633 58661 62851 63689 76259 80449 82963 98047 113131 116483 135757 156707 164249 176819 183523 186037 189389 191903 218719 221233 229613 231289 248887 259781
421,35,27,51,36,4211,4211,4211 11789 17683 24419 25261 30313 32839 37049 42101 53047 58099 65677 75781 78307 80833 93463 95989 97673 105251 107777 117881 143141 148193 154087 164191 169243 175979 181031 188609 206291 219763 222289 245023 246707 255127 260179
431,39,28,60,42,863,863,863 3449 7759 24137 26723 28447 31033 33619 43963 46549 51721 52583 62927 86201 90511 98269 99131 112061 116371 124991 132749 143093 145679 153437 157747 171539 173263 176711 188779 194813 201709 205157 207743 214639 218087 220673 227569 245671 254291 262049 266359 274117
433,42,24,63,40,5197,5197,5197 19919 25981 32909 35507 36373 48497 54559 58889 61487 64951 83137 84869 95261 97859 101323 110849 116911 129901 132499 166273 178397 183593 186191 204377 217367 218233 225161 226027 230357 235553 238151 239017 246811 248543 256337 259801 262399 264997 275389
439,35,27,49,33,4391,4391,4391 18439 35999 36877 39511 49169 50047 51803 54437 65851 70241 76387 80777 86923 96581 97459 105361 109751 110629 115019 122921 126433 131701 141359 163309 175601 183503 197551 218623 255499 267791 281839 287107
443,43,24,64,32,887,887,887 2659 8861 11519 24809 46073 48731 50503 53161 58477 63793 77969 90373 99233 101891 104549 106321 125813 141761 151507 152393 156823 160367 188719 204667 205553 210869 223273 236563 250739 268459 284407
449,40,26,55,37,3593,3593,3593 18859 24247 35023 37717 53881 62861 73637 87107 94291 97883 99679 107761 116741 124823 129313 130211 135599 145477 148171 161641 165233 181397 189479 194867 196663 208337 212827 221807 237073 237971 262217 264013 270299 277483 283769 299933
457,37,21,53,30,21023,21023,21023 21937 31991 63067 65809 71293 76777 82261 84089 98713 125219 134359 152639 155381 161779 178231 185543 189199 191027 194683 205651 218447 219361 233071 246781 248609 267803 282427 306191 308933
461,44,28,59,38,9221,9221,9221 14753 17519 22129 41491 44257 45179 49789 59009 67307 71917 106031 110641 114329 128159 130003 133691 141067 143833 150287 164117 165961 169649 174259 185323 194543 196387 205607 221281 224047 226813 233267 235111 237877 249863 251707 257239 258161
463,41,22,61,33,5557,5557,5557 18521 29633 30559 37967 44449 46301 52783 62969 83341 88897 90749 97231 115751 146309 149087 152791 154643 183349 200017 211129 212981 219463 226871 241687 263911 266689 291691 293543 297247 301877 308359 312989
467,44,28,64,42,2803,2803,2803 12143 14011 20549 25219 37361 39229 45767 53239 56041 65381 84061 87797 90599 101807 109279 114883 118619 121421 123289 135431 142903 149441 154111 156913 174659 182131 198943 222293 232567 238171 241907 252181 255917 260587 264323 275531 283937 292343 294211 300749 305419
479,44,22,62,32,3833,3833,3833 32573 35447 38321 40237 48859 64187 66103 75683 87179 90053 91969 112087 120709 140827 153281 163819 166693 169567 210761 212677 216509 244291 253871 259619 281653 284527 293149 305603 313267 321889 337217
487,38,27,58,38,1949,1949,1949 4871 7793 11689 29221 32143 37013 37987 57467 58441 61363 63311 72077 81817 110063 124673 130517 133439 159737 163633 177269 188957 206489 207463 213307 222073 226943 248371 262007 262981 280513 282461 299993 311681 314603 323369 336031 352589
491,39,24,61,34,983,983,983 3929 24551 35353 42227 47137 54011 67759 76597 83471 89363 115877 142391 150247 156139 171851 182653 185599 186581 197383 200329 206221 218987 226843 245501 273979 300493 307367 315223 325043 338791 344683 347629 356467
499,42,26,66,35,1997,1997,1997 10979 20959 38923 43913 55889 64871 68863 76847 79841 85829 115769 134731 136727 145709 154691 155689 166667 169661 175649 178643 199601 205589 230539 236527 239521 269461 275449 286427 290419 299401 310379 313373 356287 371257
503,49,33,72,47,3019,3019,3019 6037 7043 12073 15091 16097 22133 30181 33199 37223 40241 52313 87523 103619 106637 111667 117703 120721 126757 162973 163979 169009 172027 176051 181081 191141 193153 196171 209249 238423 239429 241441 248483 262567 263573 286711 296771 316891 326951 329969 332987 338017 357131 359143 362161 365179 368197
509,47,27,66,37,4073,4073,4073 10181 15271 21379 22397 39703 52937 54973 58027 85513 86531 91621 97729 117071 119107 126233 129287 167971 174079 178151 184259 189349 195457 235159 238213 239231 245339 260609 271807 305401 306419 317617 332887 335941 352229 357319 375643
521,41,19,58,31,16673,16673,16673 40639 41681 79193 115663 119831 122957 143797 151091 162553 172973 185477 188603 193813 201107 204233 243829 247997 254249 284467 294887 296971 312601 316769 326147 341777 363659 375121 379289 381373 390751
523,44,26,68,42,6277,6277,6277 20921 34519 37657 39749 43933 52301 55439 64853 65899 100417 106693 116107 128659 131797 144349 147487 149579 209201 210247 216523 222799 224891 253133 254179 268823 278237 285559 288697 303341 315893 319031 322169 325307 337859 345181 350411 351457 357733 379699 381791 400619
541,52,32,69,46,9739,9739,9739 11903 31379 37871 41117 47609 54101 57347 63839 71413 86561 87643 93053 133087 152563 154727 155809 181777 193679 200171 214237 216401 219647 230467 233713 235877 248861 259681 265091 269419 275911 281321 292141 295387 320273 336503 339749 360307 373291 383029 385193 392767 394931 415489 420899 428473
547,38,13,61,32,5471,5471,5471 8753 16411 25163 42667 97367 100649 124717 239587 251621 264749 281159 288817 308509 310697 313979 343517 344611 357739 364303 374149 396029 402593 403687 406969 413533 415721 420097 426661 429943 436507 446353
557,43,21,70,39,24509,24509,24509 26737 27851 50131 80209 124769 128111 158189 177127 211661 220573 227257 233941 241739 255107 258449 260677 275159 288527 297439 305237 317491 321947 330859 331973 337543 378761 382103 384331 394357 398813 405497 415523 421093 425549 434461 444487 447829 462311
563,55,32,78,45,7883,7883,7883 11261 13513 14639 20269 28151 30403 37159 57427 68687 85577 101341 115979 124987 129491 131743 136247 148633 149759 186917 192547 203807 227453 233083 236461 266863 271367 278123 288257 290509 304021 307399 322037 327667 334423 338927 361447 372707 399731 413243 416621 419999 436889 469543 470669
569,45,28,71,48,6829,6829,6829 10243 23899 25037 34141 38693 44383 47797 62591 68281 75109 81937 96731 112663 129733 137699 154769 192323 209393 223049 226463 246947 250361 266293 298157 307261 317503 318641 328883 331159 345953 351643 358471 376679 385783 386921 392611 393749 406267 410819 434717 436993 438131 454063 455201 460891 474547 482513
571,47,23,69,42,5711,5711,5711 26267 27409 41113 68521 71947 74231 81083 84509 92503 95929 106207 147319 149603 163307 164449 177011 211271 231827 274081 298063 301489 324329 328897 338033 341459 363157 365441 370009 372293 380287 385997 404269 428251 435103 437387 448807 452233 455659 469363 475073 485351
